tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
4.52311e-04,2.74614e-04,1.81933e-04,1.12767e-04,6.50687e-05,4.11930e-05,2.78675e-05,1.71842e-05,9.79357e-06,6.16030e-06,4.19471e-06,2.67491e-06,1.66810e-06,1.16622e-06,8.82790e-07,6.32589e-07,4.49113e-07,3.39680e-07,2.67295e-07,1.96065e-07,1.38201e-07
4.64537e-04,2.77008e-04,1.80592e-04,1.09893e-04,6.21104e-05,3.86835e-05,2.58211e-05,1.56584e-05,8.75064e-06,5.41894e-06,3.64716e-06,2.30244e-06,1.43213e-06,1.00680e-06,7.69020e-07,5.59371e-07,4.03970e-07,3.09622e-07,2.46125e-07,1.82575e-07,1.30011e-07
4.48481e-04,2.71077e-04,1.78991e-04,1.10666e-04,6.38523e-05,4.05640e-05,2.76128e-05,1.72350e-05,1.00205e-05,6.42847e-06,4.44936e-06,2.88104e-06,1.80460e-06,1.24900e-06,9.28556e-07,6.43437e-07,4.36994e-07,3.17512e-07,2.41235e-07,1.69211e-07,1.13669e-07
4.44072e-04,2.66364e-04,1.74657e-04,1.07099e-04,6.11789e-05,3.85025e-05,2.59673e-05,1.59893e-05,9.13231e-06,5.77570e-06,3.96102e-06,2.55456e-06,1.61588e-06,1.14199e-06,8.70843e-07,6.28174e-07,4.47871e-07,3.39376e-07,2.67296e-07,1.96191e-07,1.38339e-07
2.91974e-04,1.86975e-04,1.28541e-04,8.23298e-05,4.90432e-05,3.16857e-05,2.17438e-05,1.36416e-05,7.94399e-06,5.10332e-06,3.54956e-06,2.33050e-06,1.50339e-06,1.07816e-06,8.30705e-07,6.05347e-07,4.34976e-07,3.31102e-07,2.61537e-07,1.92512e-07,1.36069e-07
4.48117e-04,2.71003e-04,1.79112e-04,1.10918e-04,6.41104e-05,4.07393e-05,2.76842e-05,1.71750e-05,9.84744e-06,6.20933e-06,4.22436e-06,2.67965e-06,1.65267e-06,1.14264e-06,8.57178e-07,6.08578e-07,4.29340e-07,3.23904e-07,2.54718e-07,1.86950e-07,1.32024e-07
4.38695e-04,2.63751e-04,1.73582e-04,1.07081e-04,6.16453e-05,3.90582e-05,2.64847e-05,1.63974e-05,9.39876e-06,5.94145e-06,4.06115e-06,2.59943e-06,1.62497e-06,1.13677e-06,8.60371e-07,6.16199e-07,4.37314e-07,3.30783e-07,2.60397e-07,1.91172e-07,1.34933e-07
6.42691e-04,3.92652e-04,2.57796e-04,1.56003e-04,8.75624e-05,5.45018e-05,3.67248e-05,2.29930e-05,1.37380e-05,9.18843e-06,6.65396e-06,4.57521e-06,3.04920e-06,2.19200e-06,1.66077e-06,1.15631e-06,7.71307e-07,5.42687e-07,3.96674e-07,2.61425e-07,1.61698e-07
3.77761e-04,2.47290e-04,1.76879e-04,1.22257e-04,8.25914e-05,6.09961e-05,4.76507e-05,3.54317e-05,2.51149e-05,1.87116e-05,1.44364e-05,1.03572e-05,6.92690e-06,4.84666e-06,3.52818e-06,2.29042e-06,1.39088e-06,8.93988e-07,6.00077e-07,3.50861e-07,1.87628e-07
4.63650e-04,2.98466e-04,2.09266e-04,1.40390e-04,9.10799e-05,6.48473e-05,4.91422e-05,3.53787e-05,2.44636e-05,1.81028e-05,1.40401e-05,1.02710e-05,7.13739e-06,5.21162e-06,3.95784e-06,2.73286e-06,1.78879e-06,1.23153e-06,8.80507e-07,5.61439e-07,3.32395e-07
3.77676e-04,2.46986e-04,1.76224e-04,1.20979e-04,8.04861e-05,5.83208e-05,4.46818e-05,3.23773e-05,2.22906e-05,1.62697e-05,1.24011e-05,8.86104e-06,6.02829e-06,4.38148e-06,3.35939e-06,2.40001e-06,1.67513e-06,1.24095e-06,9.56109e-07,6.79312e-07,4.58855e-07
3.63445e-04,2.35432e-04,1.67270e-04,1.14825e-04,7.67248e-05,5.59852e-05,4.32706e-05,3.18450e-05,2.25262e-05,1.69461e-05,1.33040e-05,9.85696e-06,6.93015e-06,5.10051e-06,3.89562e-06,2.70707e-06,1.78282e-06,1.23327e-06,8.85238e-07,5.67313e-07,3.37781e-07
3.79905e-04,2.48370e-04,1.76913e-04,1.21022e-04,8.01302e-05,5.78904e-05,4.43454e-05,3.23000e-05,2.26078e-05,1.68847e-05,1.31905e-05,9.72790e-06,6.81559e-06,5.00759e-06,3.82180e-06,2.65543e-06,1.75013e-06,1.21219e-06,8.71404e-07,5.59747e-07,3.34254e-07
3.78839e-04,2.46339e-04,1.74653e-04,1.18894e-04,7.83867e-05,5.64988e-05,4.32322e-05,3.14818e-05,2.20637e-05,1.65166e-05,1.29381e-05,9.57968e-06,6.74491e-06,4.97581e-06,3.80976e-06,2.65682e-06,1.75689e-06,1.21959e-06,8.78078e-07,5.64931e-07,3.37824e-07
3.77679e-04,2.46991e-04,1.76231e-04,1.20989e-04,8.05204e-05,5.84183e-05,4.48884e-05,3.27880e-05,2.29920e-05,1.71794e-05,1.34173e-05,9.88590e-06,6.91435e-06,5.07066e-06,3.86272e-06,2.67636e-06,1.75763e-06,1.21323e-06,8.69326e-07,5.55891e-07,3.30189e-07
3.75863e-04,2.45630e-04,1.75185e-04,1.20242e-04,8.00228e-05,5.80693e-05,4.46341e-05,3.26192e-05,2.28919e-05,1.71186e-05,1.33803e-05,9.86938e-06,6.91235e-06,5.07568e-06,3.87107e-06,2.68655e-06,1.76779e-06,1.22242e-06,8.77335e-07,5.62242e-07,3.34783e-07
