tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
8.10313e-03,4.88888e-03,3.16498e-03,2.14419e-03,1.31502e-03,7.32311e-04,4.42083e-04,2.84566e-04,1.64089e-04,8.54791e-05,4.90197e-05,3.02626e-05,1.65241e-05,8.08850e-06,4.34192e-06,2.50474e-06,1.16111e-06,4.28860e-07,1.21165e-07,-2.26759e-08,-1.15931e-07,-1.55346e-07,-1.61940e-07,-1.57480e-07,-1.45228e-07,-1.25931e-07,-1.08661e-07,-9.37804e-08,-7.61811e-08,-5.74373e-08,-4.37230e-08,-3.36273e-08
1.21398e-02,8.16642e-03,5.78969e-03,4.22974e-03,2.82291e-03,1.70897e-03,1.08784e-03,7.19880e-04,4.15116e-04,1.99446e-04,9.31772e-05,3.72584e-05,-2.69378e-06,-2.38687e-05,-2.95617e-05,-2.94024e-05,-2.55714e-05,-1.95268e-05,-1.44047e-05,-1.04995e-05,-6.50265e-06,-3.46229e-06,-1.88245e-06,-1.05165e-06,-4.87404e-07,-1.85556e-07,-8.43950e-08,-4.41461e-08,-2.11944e-08,-9.66953e-09,-5.23683e-09,-3.16318e-09
1.17625e-02,7.86780e-03,5.55574e-03,4.04957e-03,2.70270e-03,1.64775e-03,1.06611e-03,7.24614e-04,4.43716e-04,2.45344e-04,1.46438e-04,9.27047e-05,5.14281e-05,2.48164e-05,1.25309e-05,6.37460e-06,1.84574e-06,-5.61832e-07,-1.48605e-06,-1.83853e-06,-1.95276e-06,-1.84413e-06,-1.66100e-06,-1.47344e-06,-1.23355e-06,-9.55606e-07,-7.46586e-07,-5.86626e-07,-4.18784e-07,-2.65575e-07,-1.71428e-07,-1.12835e-07
1.17782e-02,7.87891e-03,5.56243e-03,4.05298e-03,2.70324e-03,1.64645e-03,1.06417e-03,7.22539e-04,4.41768e-04,2.43732e-04,1.45144e-04,9.16661e-05,5.06611e-05,2.42941e-05,1.21617e-05,6.10325e-06,1.66646e-06,-6.74239e-07,-1.56130e-06,-1.89146e-06,-1.98622e-06,-1.86406e-06,-1.67379e-06,-1.48209e-06,-1.23886e-06,-9.58483e-07,-7.48273e-07,-5.87659e-07,-4.19321e-07,-2.65805e-07,-1.71530e-07,-1.12883e-07
1.45453e-02,9.96782e-03,7.23670e-03,5.45111e-03,3.83321e-03,2.52544e-03,1.76740e-03,1.29655e-03,8.81707e-04,5.59344e-04,3.80000e-04,2.72119e-04,1.79541e-04,1.10399e-04,7.25963e-05,5.02920e-05,3.04893e-05,1.68325e-05,9.61452e-06,5.51474e-06,2.23615e-06,3.05433e-07,-4.63942e-07,-7.54182e-07,-8.36276e-07,-7.40231e-07,-6.03073e-07,-4.81006e-07,-3.46826e-07,-2.24588e-07,-1.50862e-07,-1.05295e-07
1.46915e-02,1.00669e-02,7.30356e-03,5.49501e-03,3.85502e-03,2.52880e-03,1.76026e-03,1.28335e-03,8.64013e-04,5.39488e-04,3.60144e-04,2.53156e-04,1.62389e-04,9.58089e-05,6.02393e-05,3.97535e-05,2.21135e-05,1.05199e-05,4.79013e-06,1.79670e-06,-2.99906e-07,-1.22196e-06,-1.37303e-06,-1.27723e-06,-1.04219e-06,-7.36079e-07,-5.20538e-07,-3.73989e-07,-2.41034e-07,-1.39796e-07,-8.71286e-08,-5.77447e-08
1.45745e-02,9.97810e-03,7.23617e-03,5.44417e-03,3.82144e-03,2.51114e-03,1.75273e-03,1.28240e-03,8.68844e-04,5.48443e-04,3.70863e-04,2.64453e-04,1.73539e-04,1.06033e-04,6.93490e-05,4.78187e-05,2.88102e-05,1.57986e-05,8.98057e-06,5.14106e-06,2.10132e-06,3.34445e-07,-3.60626e-07,-6.20833e-07,-6.95825e-07,-6.16531e-07,-5.02421e-07,-4.01460e-07,-2.91055e-07,-1.90725e-07,-1.30020e-07,-9.22012e-08
1.45453e-02,9.96782e-03,7.23670e-03,5.45111e-03,3.83321e-03,2.52544e-03,1.76740e-03,1.29655e-03,8.81708e-04,5.59347e-04,3.80006e-04,2.72127e-04,1.79551e-04,1.10411e-04,7.26070e-05,5.03009e-05,3.04951e-05,1.68352e-05,9.61517e-06,5.51422e-06,2.23479e-06,3.03770e-07,-4.65555e-07,-7.55638e-07,-8.37478e-07,-7.41121e-07,-6.03736e-07,-4.81506e-07,-3.47167e-07,-2.24797e-07,-1.50997e-07,-1.05386e-07
1.65233e-02,1.19383e-02,9.02530e-03,7.02243e-03,5.11870e-03,3.49748e-03,2.51215e-03,1.87778e-03,1.30046e-03,8.36180e-04,5.69956e-04,4.06357e-04,2.63816e-04,1.56770e-04,9.89490e-05,6.56553e-05,3.71019e-05,1.82644e-05,8.71948e-06,3.50767e-06,-4.18266e-07,-2.40954e-06,-2.91357e-06,-2.85774e-06,-2.47198e-06,-1.85606e-06,-1.36980e-06,-1.01453e-06,-6.72713e-07,-3.98008e-07,-2.49634e-07,-1.65351e-07
1.40652e-02,9.53191e-03,6.86231e-03,5.13449e-03,3.58356e-03,2.34249e-03,1.62964e-03,1.18992e-03,8.05021e-04,5.08101e-04,3.44037e-04,2.45825e-04,1.61823e-04,9.91828e-05,6.49212e-05,4.46996e-05,2.67718e-05,1.44788e-05,8.04924e-06,4.44415e-06,1.61263e-06,-3.84070e-09,-6.13692e-07,-8.19166e-07,-8.42749e-07,-7.16812e-07,-5.73151e-07,-4.52060e-07,-3.22764e-07,-2.07382e-07,-1.38701e-07,-9.65618e-08
