tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.12581e-03,9.21588e-04,7.87753e-04,6.88885e-04,5.85074e-04,4.82761e-04,4.09149e-04,3.53709e-04,2.93946e-04,2.34589e-04,1.92337e-04,1.61224e-04,1.28910e-04,9.92961e-05,7.96593e-05,6.58321e-05,5.05721e-05,3.63367e-05,2.61155e-05,1.86868e-05,1.11736e-05,5.41800e-06,2.37491e-06,7.60725e-07,-3.02597e-07,-7.54953e-07,-7.73717e-07,-6.78261e-07,-5.17282e-07,-3.43085e-07,-2.31604e-07,-1.61927e-07
1.26938e-03,1.00273e-03,8.32168e-04,7.09194e-04,5.83494e-04,4.63839e-04,3.80971e-04,3.20785e-04,2.58666e-04,2.00693e-04,1.62141e-04,1.35103e-04,1.07633e-04,8.18482e-05,6.37275e-05,5.04851e-05,3.60333e-05,2.36703e-05,1.58464e-05,1.07533e-05,6.09871e-06,2.85737e-06,1.25841e-06,4.42740e-07,-8.56695e-08,-3.20055e-07,-3.46427e-07,-3.15296e-07,-2.52366e-07,-1.78210e-07,-1.27271e-07,-9.34397e-08
1.35730e-03,1.05530e-03,8.63792e-04,7.27014e-04,5.88742e-04,4.59203e-04,3.71361e-04,3.09051e-04,2.46501e-04,1.89723e-04,1.52290e-04,1.25700e-04,9.80188e-05,7.15515e-05,5.31603e-05,4.01846e-05,2.67864e-05,1.61773e-05,9.98258e-06,6.22786e-06,3.05611e-06,1.06786e-06,2.05830e-07,-1.71422e-07,-3.57992e-07,-3.77850e-07,-3.25571e-07,-2.67043e-07,-1.97676e-07,-1.32253e-07,-9.19858e-08,-6.66220e-08
1.43926e-03,1.02979e-03,7.86674e-04,6.23876e-04,4.70805e-04,3.40244e-04,2.59757e-04,2.06576e-04,1.55934e-04,1.11756e-04,8.35855e-05,6.44304e-05,4.59012e-05,3.02072e-05,2.07316e-05,1.48018e-05,9.34159e-06,5.49191e-06,3.43423e-06,2.25044e-06,1.27599e-06,6.55411e-07,3.61925e-07,2.09958e-07,1.02433e-07,3.81289e-08,1.32622e-08,2.57944e-09,-3.24288e-09,-5.07440e-09,-4.87866e-09,-4.26650e-09
5.83244e-04,4.89825e-04,4.27293e-04,3.80847e-04,3.31930e-04,2.83597e-04,2.48688e-04,2.22250e-04,1.93491e-04,1.64440e-04,1.43196e-04,1.26980e-04,1.09179e-04,9.13128e-05,7.82152e-05,6.83536e-05,5.71240e-05,4.66879e-05,3.92198e-05,3.36188e-05,2.74459e-05,2.17708e-05,1.78431e-05,1.49933e-05,1.21077e-05,9.37544e-06,7.59237e-06,6.32146e-06,5.01832e-06,3.78043e-06,2.93035e-06,2.31609e-06
1.03995e-03,8.29356e-04,6.95799e-04,5.99629e-04,5.01237e-04,4.07184e-04,3.41531e-04,2.93307e-04,2.42579e-04,1.93525e-04,1.59333e-04,1.34365e-04,1.08277e-04,8.37131e-05,6.69083e-05,5.50249e-05,4.24014e-05,3.16476e-05,2.46057e-05,1.97257e-05,1.47914e-05,1.07097e-05,8.15865e-06,6.44912e-06,4.83456e-06,3.40689e-06,2.52976e-06,1.93779e-06,1.37202e-06,8.90038e-07,6.00805e-07,4.17164e-07
1.26938e-03,1.00273e-03,8.32170e-04,7.09196e-04,5.83495e-04,4.63828e-04,3.80887e-04,3.20488e-04,2.57687e-04,1.98019e-04,1.57331e-04,1.28276e-04,9.87108e-05,7.18805e-05,5.42956e-05,4.23744e-05,3.03482e-05,2.08292e-05,1.50904e-05,1.13894e-05,7.88372e-06,5.13439e-06,3.46832e-06,2.38259e-06,1.41064e-06,6.51638e-07,2.74748e-07,7.92640e-08,-4.92479e-08,-1.03179e-07,-1.06266e-07,-9.51237e-08
1.73705e-03,1.19275e-03,8.77250e-04,6.65882e-04,4.68181e-04,3.03302e-04,2.06331e-04,1.46274e-04,9.42602e-05,5.53217e-05,3.47971e-05,2.31412e-05,1.38029e-05,7.47863e-06,4.40608e-06,2.79098e-06,1.53053e-06,7.88734e-07,4.50104e-07,2.76977e-07,1.48412e-07,7.42141e-08,4.14952e-08,2.51308e-08,1.36528e-08,6.56973e-09,3.57072e-09,2.08477e-09,1.04363e-09,4.24881e-10,1.65004e-10,4.22926e-11
1.38163e-03,1.04165e-03,8.27351e-04,6.72696e-04,5.14707e-04,3.67504e-04,2.70645e-04,2.04861e-04,1.42571e-04,9.09963e-05,6.11009e-05,4.28057e-05,2.70978e-05,1.56203e-05,9.64288e-06,6.32924e-06,3.61603e-06,1.93612e-06,1.13549e-06,7.12983e-07,3.90466e-07,1.99172e-07,1.12943e-07,6.91669e-08,3.80907e-08,1.87016e-08,1.04174e-08,6.28515e-09,3.36778e-09,1.61153e-09,8.56937e-10,4.88315e-10
3.72666e-03,2.17629e-03,1.48715e-03,1.10543e-03,7.93745e-04,5.53543e-04,4.13166e-04,3.22600e-04,2.38195e-04,1.67038e-04,1.23672e-04,9.54126e-05,6.91521e-05,4.76735e-05,3.48452e-05,2.66725e-05,1.87618e-05,1.26223e-05,8.91442e-06,6.51580e-06,4.27153e-06,2.60099e-06,1.67713e-06,1.12958e-06,6.83154e-07,3.63006e-07,2.09613e-07,1.27536e-07,6.67620e-08,2.93779e-08,1.36272e-08,6.35546e-09
