,thk_00,thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,thk_07,thk_08,rho_00,rho_01,rho_02,rho_03,rho_04,rho_05,rho_06,rho_07,rho_08,rho_09
dB/dt tg11,2.739049877888774e-07,-5.211955781511283e-07,-7.013769711745637e-07,8.232242531029454e-08,-3.074747298222125e-08,-1.3246065142090458e-08,6.928669612180387e-10,4.0707718112196395e-11,4.16999650406465e-13,-1.0175066519998738e-06,-8.463491623555587e-07,-7.431629497007308e-07,-9.411606287644543e-07,-1.7646097762927883e-07,4.275865256012954e-08,1.571944873496848e-08,1.9531580216408833e-09,4.675123442810325e-11,2.066151581682437e-11
dB/dt tg12,1.6050684230006733e-07,-3.089593504461788e-07,-4.1915477790616496e-07,9.972801578874516e-08,5.036561821145445e-09,-9.152536005950023e-09,9.686237130395586e-10,1.16366150940917e-10,4.4647283136445126e-13,-5.985509932114866e-07,-5.065447055080445e-07,-4.682139682303481e-07,-6.717294992223247e-07,-1.926100641555468e-07,1.5963356487653795e-08,1.4143264914805102e-08,3.05028424272611e-09,1.3860175892331638e-10,2.0706915874742e-11
dB/dt tg13,1.018486128490063e-07,-1.5609872605809864e-07,-2.1863335646705928e-07,9.755434544974234e-08,2.7490408951564067e-08,-3.85587112161571e-09,1.1686629981230487e-09,2.670875542962077e-10,7.601402284311687e-13,-3.278300504795056e-07,-2.817631405998925e-07,-2.7299515614455557e-07,-4.376325530932677e-07,-1.7125313736303366e-07,-5.419637598201755e-09,9.964110719507367e-09,3.956711678923822e-09,3.7965010819597616e-10,2.1887496137351183e-11
dB/dt tg14,7.499427833507238e-08,-8.131275774229865e-08,-1.2007353610346137e-07,8.551662069282447e-08,3.4024508701507384e-08,-2.515953462874646e-10,1.1927418231977328e-09,4.1688986762243795e-10,1.9181905624469533e-12,-1.9816790150214711e-07,-1.722228607361796e-07,-1.7235227789296305e-07,-2.974868506340145e-07,-1.3994553730573738e-07,-1.4883811206180802e-08,5.812440396622623e-09,4.098846129822009e-09,6.958104438010874e-10,2.7968083466604186e-11
dB/dt tg15,5.897936491921307e-08,-4.331423036276154e-08,-6.909781650682412e-08,7.236983520466251e-08,3.385845710167899e-08,1.7833036123034184e-09,1.109062703037307e-09,5.166817350785383e-10,4.298343638628631e-12,-1.2944714457582512e-07,-1.1341677324981466e-07,-1.1616185648044193e-07,-2.111751158007488e-07,-1.122359932541338e-07,-1.8105137455009148e-08,2.686173092828861e-09,3.725083069018674e-09,9.980533701215807e-10,4.2581302458491627e-11
dB/dt tg16,4.295920643523406e-08,-1.6270053467536213e-08,-3.1461378947727484e-08,5.4953718958187625e-08,2.9335718516750603e-08,3.0846133016778573e-09,8.923228463433094e-10,5.671599215216006e-10,9.73039287484615e-12,-7.480146843764611e-08,-6.61102067675628e-08,-6.941442803968116e-08,-1.3326033398873225e-07,-8.011854639213742e-08,-1.7941172030657514e-08,-3.035636463505961e-10,2.771035069199864e-09,1.3204257449773585e-09,8.519092399561855e-11
dB/dt tg17,2.9590019212068673e-08,-3.0596738556454266e-09,-1.15659701539478e-08,3.841133492127693e-08,2.247532346107043e-08,3.2408082159489756e-09,5.849777994720263e-10,5.019506662472917e-10,1.7794490731568736e-11,-4.115430042842405e-08,-3.6665927804442727e-08,-3.9368209510975904e-08,-7.928666561270331e-08,-5.290576194552332e-08,-1.4991032555303225e-08,-2.0524241944099336e-09,1.5327546351822196e-09,1.4409628608071937e-09,1.6947611865944442e-10
dB/dt tg18,2.1061956511275932e-08,1.2318534048265022e-09,-3.989395413013654e-09,2.7372305774288844e-08,1.6880239468386512e-08,2.8221509870240505e-09,3.315499391104628e-10,3.826727679929002e-10,2.3596233149369943e-11,-2.4961334392579004e-08,-2.2363319760932613e-08,-2.437880838939805e-08,-5.070307858945212e-08,-3.6244038354616705e-08,-1.186082239624118e-08,-2.5763132089244226e-09,6.240062970050842e-10,1.3216459866245295e-09,2.603052345228835e-10
dB/dt tg19,1.5392100490437855e-08,2.4834122631431303e-09,-9.410689059267088e-10,1.9963905685853088e-08,1.2728192095797305e-08,2.302288684275925e-09,1.4544039399273097e-10,2.621173599088479e-10,2.6261202610155136e-11,-1.6233713358098967e-08,-1.460219544848159e-08,-1.6094385669739576e-08,-3.425639889648587e-08,-2.5714882332225027e-08,-9.282895539929908e-09,-2.5728801046372956e-09,3.5164184845551735e-11,1.0920385278187288e-09,3.366863743747624e-10
dB/dt tg20,1.0030590511296763e-08,2.602307634249478e-09,6.160057406680506e-10,1.2959012491143742e-08,8.528802721701963e-09,1.633494451418752e-09,-2.8563010849367993e-11,1.2038208809831067e-10,2.5229835426374678e-11,-9.3328725682728e-09,-8.43069952135908e-09,-9.403387422290313e-09,-2.0521269153947003e-08,-1.6236424888271223e-08,-6.495189568679829e-09,-2.244967343309264e-09,-4.31315923903487e-10,7.173541178830679e-10,4.0515347877665797e-10
dB/dt tg21,6.047669354002468e-09,2.0194523132584318e-09,9.351597045138289e-10,7.780981940370437e-09,5.244798021305977e-09,1.0203087975083291e-09,-1.375884590193463e-10,4.8344285429908665e-12,1.9457875875902156e-11,-5.05755350731513e-09,-4.585117782127588e-09,-5.167232306581863e-09,-1.1527234873954043e-08,-9.554920670319808e-09,-4.1816841993051725e-09,-1.7249135415721705e-09,-6.404237540208532e-10,3.1566478280570044e-10,4.216894744831789e-10
