tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07077e-04,7.05606e-05,5.00927e-05,3.33547e-05,2.12510e-05,1.46329e-05,1.06570e-05,7.03027e-06,4.41503e-06,2.95580e-06,2.07437e-06,1.30220e-06,7.67834e-07
5.31577e-03,3.23058e-03,2.11477e-03,1.27892e-03,7.19851e-04,4.49729e-04,3.03706e-04,1.89809e-04,1.12035e-04,7.34227e-05,5.18895e-05,3.43751e-05,2.17952e-05,1.49606e-05,1.08739e-05,7.16123e-06,4.49380e-06,3.00962e-06,2.11456e-06,1.33083e-06,7.87745e-07
1.02145e-02,6.59875e-03,4.48858e-03,2.78882e-03,1.59207e-03,9.90687e-04,6.59683e-04,4.01024e-04,2.25848e-04,1.40758e-04,9.47548e-05,5.88730e-05,3.47337e-05,2.25988e-05,1.58093e-05,1.00192e-05,6.09792e-06,4.00900e-06,2.78155e-06,1.72751e-06,1.01015e-06
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07078e-04,7.05610e-05,5.00930e-05,3.33551e-05,2.12514e-05,1.46335e-05,1.06580e-05,7.03255e-06,4.41960e-06,2.96263e-06,2.08290e-06,1.31184e-06,7.77038e-07
4.87004e-03,2.99155e-03,1.97624e-03,1.20594e-03,6.82496e-04,4.25858e-04,2.86007e-04,1.76758e-04,1.02616e-04,6.62880e-05,4.63229e-05,3.03171e-05,1.90035e-05,1.29361e-05,9.34186e-06,6.10461e-06,3.80111e-06,2.53116e-06,1.77098e-06,1.10989e-06,6.55099e-07
4.84011e-03,2.96110e-03,1.95013e-03,1.18927e-03,6.78526e-04,4.30531e-04,2.95431e-04,1.88604e-04,1.13638e-04,7.49937e-05,5.26914e-05,3.40604e-05,2.05080e-05,1.32837e-05,9.13381e-06,5.58468e-06,3.24059e-06,2.04439e-06,1.37259e-06,8.21700e-07,4.66243e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72080e-04,4.22343e-04,2.86572e-04,1.80099e-04,1.06895e-04,7.02923e-05,4.97727e-05,3.30241e-05,2.09788e-05,1.44469e-05,1.05479e-05,7.00575e-06,4.44936e-06,3.01464e-06,2.14052e-06,1.36589e-06,8.20591e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86603e-04,1.80178e-04,1.07055e-04,7.05067e-05,5.00021e-05,3.32167e-05,2.10793e-05,1.44635e-05,1.05113e-05,6.93298e-06,4.37361e-06,2.95212e-06,2.09326e-06,1.33674e-06,8.06306e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07077e-04,7.05600e-05,5.00912e-05,3.33519e-05,2.12469e-05,1.46285e-05,1.06532e-05,7.02875e-06,4.41724e-06,2.96143e-06,2.08251e-06,1.31216e-06,7.77749e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07078e-04,7.05620e-05,5.00954e-05,3.33610e-05,2.12642e-05,1.46534e-05,1.06833e-05,7.06216e-06,4.44859e-06,2.98723e-06,2.10193e-06,1.32320e-06,7.81063e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72083e-04,4.22355e-04,2.86605e-04,1.80185e-04,1.07078e-04,7.05617e-05,5.00938e-05,3.33558e-05,2.12521e-05,1.46342e-05,1.06588e-05,7.03345e-06,4.42099e-06,2.96495e-06,2.08645e-06,1.31743e-06,7.84868e-07
4.83991e-03,2.96031e-03,1.94830e-03,1.18548e-03,6.72082e-04,4.22354e-04,2.86604e-04,1.80184e-04,1.07078e-04,7.05610e-05,5.00930e-05,3.33551e-05,2.12514e-05,1.46335e-05,1.06580e-05,7.03255e-06,4.41960e-06,2.96263e-06,2.08290e-06,1.31184e-06,7.77038e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46936e-04,9.32174e-05,5.70244e-05,3.89413e-05,2.85940e-05,1.98174e-05,1.31092e-05,9.23363e-06,6.81678e-06,4.54980e-06,2.88365e-06,1.94498e-06,1.37612e-06,8.76856e-07,5.30270e-07
2.70951e-03,1.62475e-03,1.04848e-03,6.22462e-04,3.44160e-04,2.13699e-04,1.44977e-04,9.24482e-05,5.69125e-05,3.90494e-05,2.87657e-05,1.99906e-05,1.32427e-05,9.32891e-06,6.88438e-06,4.59067e-06,2.90605e-06,1.95811e-06,1.38430e-06,8.81291e-07,5.32558e-07
2.43987e-03,1.43384e-03,9.22607e-04,5.58559e-04,3.24251e-04,2.13211e-04,1.52702e-04,1.03802e-04,6.80008e-05,4.83815e-05,3.63051e-05,2.54450e-05,1.67499e-05,1.16379e-05,8.45892e-06,5.52017e-06,3.41344e-06,2.25815e-06,1.57393e-06,9.86243e-07,5.87852e-07
2.64971e-03,1.58511e-03,1.03021e-03,6.25973e-04,3.62144e-04,2.36117e-04,1.67492e-04,1.12472e-04,7.27039e-05,5.12501e-05,3.82227e-05,2.66431e-05,1.74720e-05,1.21181e-05,8.80044e-06,5.73957e-06,3.54756e-06,2.34593e-06,1.63427e-06,1.02301e-06,6.08706e-07
2.75707e-03,1.65703e-03,1.07115e-03,6.36692e-04,3.51860e-04,2.17949e-04,1.47340e-04,9.34303e-05,5.71077e-05,3.89615e-05,2.85757e-05,1.97610e-05,1.30220e-05,9.13410e-06,6.71666e-06,4.45923e-06,2.81073e-06,1.88818e-06,1.33220e-06,8.46714e-07,5.11468e-07
2.75660e-03,1.65670e-03,1.07139e-03,6.38293e-04,3.55492e-04,2.22966e-04,1.52901e-04,9.87255e-05,6.10600e-05,4.14261e-05,2.98157e-05,1.98193e-05,1.22716e-05,8.11584e-06,5.67603e-06,3.55142e-06,2.12430e-06,1.38449e-06,9.62892e-07,6.10484e-07,3.75553e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35592e-04,3.50981e-04,2.17333e-04,1.46927e-04,9.31925e-05,5.69674e-05,3.88524e-05,2.84808e-05,1.96868e-05,1.29795e-05,9.12028e-06,6.72425e-06,4.48780e-06,2.85249e-06,1.93429e-06,1.37829e-06,8.89315e-07,5.47638e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17337e-04,1.46937e-04,9.32198e-05,5.70326e-05,3.89599e-05,2.86253e-05,1.98670e-05,1.31774e-05,9.31061e-06,6.89437e-06,4.61945e-06,2.93668e-06,1.98168e-06,1.39927e-06,8.85514e-07,5.27719e-07
