tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31,tg_32,tg_33
2.06434e-03,1.53067e-03,1.06276e-03,7.03075e-04,5.04970e-04,3.85705e-04,2.81159e-04,1.97926e-04,1.47396e-04,1.14120e-04,8.08049e-05,5.43219e-05,3.82629e-05,2.79462e-05,1.84053e-05,1.13933e-05,7.54051e-06,5.25233e-06,3.36659e-06,1.97662e-06,1.27818e-06,8.81800e-07,5.63278e-07,3.39035e-07,2.24982e-07,1.60104e-07,1.04085e-07,6.61925e-08,4.56883e-08,3.33405e-08,2.23655e-08,1.44174e-08,9.99154e-09,7.28449e-09
1.91746e-03,1.43736e-03,1.01710e-03,6.92005e-04,5.10187e-04,3.98123e-04,2.96520e-04,2.11891e-04,1.58518e-04,1.22654e-04,8.64256e-05,5.76353e-05,4.02894e-05,2.92309e-05,1.90928e-05,1.17193e-05,7.70759e-06,5.34340e-06,3.40892e-06,1.99356e-06,1.28671e-06,8.87091e-07,5.66808e-07,3.41637e-07,2.27085e-07,1.61842e-07,1.05402e-07,6.71286e-08,4.63714e-08,3.38521e-08,2.27121e-08,1.46380e-08,1.01408e-08,7.39030e-09
1.99693e-03,1.46941e-03,1.01098e-03,6.60335e-04,4.67989e-04,3.53040e-04,2.53761e-04,1.76750e-04,1.31255e-04,1.01793e-04,7.25309e-05,4.92470e-05,3.50165e-05,2.57885e-05,1.71618e-05,1.07389e-05,7.16603e-06,5.02335e-06,3.24135e-06,1.91510e-06,1.24306e-06,8.59507e-07,5.49917e-07,3.31194e-07,2.19743e-07,1.56319e-07,1.01575e-07,6.45778e-08,4.45761e-08,3.25374e-08,2.18398e-08,1.40914e-08,9.77454e-09,7.13232e-09
1.99238e-03,1.46684e-03,1.01460e-03,6.73708e-04,4.87497e-04,3.74324e-04,2.72704e-04,1.89224e-04,1.37763e-04,1.04104e-04,7.12035e-05,4.61044e-05,3.15503e-05,2.25415e-05,1.45022e-05,8.80819e-06,5.77191e-06,4.00405e-06,2.56879e-06,1.52221e-06,9.98016e-07,6.99418e-07,4.57138e-07,2.83333e-07,1.92673e-07,1.39842e-07,9.30186e-08,6.03919e-08,4.22773e-08,3.11655e-08,2.11282e-08,1.37456e-08,9.58477e-09,7.01900e-09
1.99053e-03,1.46231e-03,1.00463e-03,6.56476e-04,4.66566e-04,3.53374e-04,2.55499e-04,1.79060e-04,1.33440e-04,1.03654e-04,7.38868e-05,5.01053e-05,3.55503e-05,2.61137e-05,1.73036e-05,1.07626e-05,7.13884e-06,4.97502e-06,3.18471e-06,1.86177e-06,1.19700e-06,8.20574e-07,5.19446e-07,3.09189e-07,2.03406e-07,1.43844e-07,9.29610e-08,5.89224e-08,4.06522e-08,2.96959e-08,1.99771e-08,1.29358e-08,9.00483e-09,6.59228e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56452e-04,4.66490e-04,3.53219e-04,2.55217e-04,1.78651e-04,1.32996e-04,1.03243e-04,7.35837e-05,4.99456e-05,3.54939e-05,2.61216e-05,1.73602e-05,1.08385e-05,7.21322e-06,5.04137e-06,3.23788e-06,1.89921e-06,1.22353e-06,8.39659e-07,5.31712e-07,3.16208e-07,2.07686e-07,1.46603e-07,9.44915e-08,5.97203e-08,4.11125e-08,2.99823e-08,2.01339e-08,1.30169e-08,9.05196e-09,6.62195e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56456e-04,4.66509e-04,3.53274e-04,2.55357e-04,1.78941e-04,1.33420e-04,1.03753e-04,7.41327e-05,5.04418e-05,3.58910e-05,2.64169e-05,1.75288e-05,1.08956e-05,7.20704e-06,5.00131e-06,3.17690e-06,1.83302e-06,1.16215e-06,7.85478e-07,4.87645e-07,2.83385e-07,1.82867e-07,1.27422e-07,8.10826e-08,5.08248e-08,3.48951e-08,2.54542e-08,1.71455e-08,1.11496e-08,7.80081e-09,5.73959e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56455e-04,4.66504e-04,3.53255e-04,2.55290e-04,1.78749e-04,1.33071e-04,1.03263e-04,7.35085e-05,4.97801e-05,3.52855e-05,2.59020e-05,1.71539e-05,1.06706e-05,7.08660e-06,4.95125e-06,3.18823e-06,1.88708e-06,1.23198e-06,8.58834e-07,5.56986e-07,3.41807e-07,2.30460e-07,1.66048e-07,1.09413e-07,7.03275e-08,4.88299e-08,3.57471e-08,2.40265e-08,1.54889e-08,1.07218e-08,7.80445e-09
2.03002e-03,1.48926e-03,1.02127e-03,6.65832e-04,4.72245e-04,3.57017e-04,2.57536e-04,1.80021e-04,1.33885e-04,1.03836e-04,7.38851e-05,5.00346e-05,3.54831e-05,2.60707e-05,1.72986e-05,1.07920e-05,7.18547e-06,5.02866e-06,3.23953e-06,1.91150e-06,1.24004e-06,8.57326e-07,5.48685e-07,3.30716e-07,2.19621e-07,1.56358e-07,1.01701e-07,6.47158e-08,4.46967e-08,3.26371e-08,2.19134e-08,1.41412e-08,9.80950e-09,7.15771e-09
2.96297e-03,2.23301e-03,1.54306e-03,9.89132e-04,6.80521e-04,4.97314e-04,3.42597e-04,2.27860e-04,1.63870e-04,1.24407e-04,8.68471e-05,5.80409e-05,4.08519e-05,2.98625e-05,1.97048e-05,1.22248e-05,8.10283e-06,5.64829e-06,3.62039e-06,2.12212e-06,1.36827e-06,9.40505e-07,5.97289e-07,3.56594e-07,2.34911e-07,1.66138e-07,1.07202e-07,6.77013e-08,4.65065e-08,3.38220e-08,2.26100e-08,1.45329e-08,1.00532e-08,7.32032e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56455e-04,4.66504e-04,3.53255e-04,2.55290e-04,1.78750e-04,1.33072e-04,1.03266e-04,7.35169e-05,4.98032e-05,3.53267e-05,2.59599e-05,1.72283e-05,1.07501e-05,7.15871e-06,5.01060e-06,3.22844e-06,1.90538e-06,1.23631e-06,8.54904e-07,5.47268e-07,3.29960e-07,2.19172e-07,1.56070e-07,1.01538e-07,6.46269e-08,4.46426e-08,3.26016e-08,2.18924e-08,1.41294e-08,9.80210e-09,7.15277e-09
2.08749e-03,1.51698e-03,1.01874e-03,6.44846e-04,4.46954e-04,3.32591e-04,2.36518e-04,1.63449e-04,1.20619e-04,9.29641e-05,6.56185e-05,4.40606e-05,3.10441e-05,2.26980e-05,1.49857e-05,9.31553e-06,6.19468e-06,4.33657e-06,2.79987e-06,1.66094e-06,1.08460e-06,7.55205e-07,4.88286e-07,2.98208e-07,2.00268e-07,1.43909e-07,9.46486e-08,6.08585e-08,4.23438e-08,3.10885e-08,2.09970e-08,1.36228e-08,9.48538e-09,6.94064e-09
2.04553e-03,1.53614e-03,1.09187e-03,7.40713e-04,5.35249e-04,4.03723e-04,2.82550e-04,1.84270e-04,1.26679e-04,9.12086e-05,5.88256e-05,3.60059e-05,2.36785e-05,1.64421e-05,1.02841e-05,6.11956e-06,3.97505e-06,2.75253e-06,1.77398e-06,1.06592e-06,7.10875e-07,5.07073e-07,3.39491e-07,2.16616e-07,1.50803e-07,1.11530e-07,7.58510e-08,5.02926e-08,3.57534e-08,2.66713e-08,1.83277e-08,1.20818e-08,8.50765e-09,6.27848e-09
1.99051e-03,1.46222e-03,1.00427e-03,6.55304e-04,4.64271e-04,3.50031e-04,2.51199e-04,1.74599e-04,1.29633e-04,1.00743e-04,7.22355e-05,4.95867e-05,3.56656e-05,2.65543e-05,1.79300e-05,1.13998e-05,7.70352e-06,5.45417e-06,3.55654e-06,2.12180e-06,1.38449e-06,9.59627e-07,6.14101e-07,3.68653e-07,2.43376e-07,1.72198e-07,1.11014e-07,6.99641e-08,4.79578e-08,3.48099e-08,2.32140e-08,1.48838e-08,1.02765e-08,7.47167e-09
1.99053e-03,1.46231e-03,1.00461e-03,6.56362e-04,4.66191e-04,3.52571e-04,2.53936e-04,1.76587e-04,1.30517e-04,1.00716e-04,7.14001e-05,4.84561e-05,3.46287e-05,2.57183e-05,1.73859e-05,1.11244e-05,7.58172e-06,5.41624e-06,3.57466e-06,2.16421e-06,1.42833e-06,9.98704e-07,6.44759e-07,3.89831e-07,2.58209e-07,1.82894e-07,1.17839e-07,7.40832e-08,5.06333e-08,3.66483e-08,2.43487e-08,1.55483e-08,1.07011e-08,7.76034e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56454e-04,4.66500e-04,3.53244e-04,2.55263e-04,1.78700e-04,1.33007e-04,1.03195e-04,7.34519e-05,4.97550e-05,3.52957e-05,2.59427e-05,1.72250e-05,1.07564e-05,7.16871e-06,5.02159e-06,3.23885e-06,1.91384e-06,1.24292e-06,8.60035e-07,5.50880e-07,3.32261e-07,2.20713e-07,1.57151e-07,1.02212e-07,6.50268e-08,4.49005e-08,3.27782e-08,2.20013e-08,1.41933e-08,9.84306e-09,7.18069e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56456e-04,4.66507e-04,3.53264e-04,2.55322e-04,1.78846e-04,1.33254e-04,1.03532e-04,7.38762e-05,5.02082e-05,3.57126e-05,2.62934e-05,1.74668e-05,1.08778e-05,7.20880e-06,5.01137e-06,3.19120e-06,1.84875e-06,1.17796e-06,8.00934e-07,5.02173e-07,2.96195e-07,1.93875e-07,1.36787e-07,8.83616e-08,5.61177e-08,3.88262e-08,2.84421e-08,1.92054e-08,1.24854e-08,8.71762e-09,6.39723e-09
