tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13
-1.08482e-05,-1.84711e-06,4.53796e-06,6.83774e-06,6.12047e-06,4.94509e-06,3.56767e-06,2.31912e-06,1.57678e-06,1.12758e-06,7.31091e-07,4.55802e-07,3.06279e-07,2.17397e-07
3.47934e-05,2.21779e-05,1.31005e-05,7.39823e-06,4.62991e-06,3.12614e-06,1.95654e-06,1.15623e-06,7.44625e-07,5.14115e-07,3.20559e-07,1.93115e-07,1.26703e-07,8.82680e-08
-9.93487e-06,-4.82434e-06,-1.00009e-06,8.96492e-07,1.17113e-06,1.04593e-06,7.95009e-07,5.27985e-07,3.63500e-07,2.63267e-07,1.74979e-07,1.13043e-07,7.86198e-08,5.76650e-08
4.19525e-05,2.65476e-05,1.50887e-05,7.96891e-06,4.82457e-06,3.24570e-06,2.04952e-06,1.15596e-06,6.41280e-07,3.79064e-07,2.18277e-07,1.50113e-07,1.19583e-07,9.21993e-08
1.97459e-05,1.10859e-05,5.24811e-06,1.92276e-06,4.85349e-07,-1.51172e-07,-4.57841e-07,-4.49798e-07,-3.22833e-07,-2.14505e-07,-1.11543e-07,-4.54962e-08,-1.66949e-08,-1.59093e-09
2.00862e-05,1.11784e-05,5.18048e-06,1.79438e-06,3.62024e-07,-2.54463e-07,-5.33805e-07,-5.02813e-07,-3.63244e-07,-2.44904e-07,-1.29455e-07,-5.32644e-08,-1.94554e-08,-2.36584e-09
1.94204e-05,1.09686e-05,5.29881e-06,2.04134e-06,5.84697e-07,-8.36746e-08,-4.21565e-07,-4.24336e-07,-2.94354e-07,-1.87682e-07,-9.41322e-08,-3.89493e-08,-1.59618e-08,-2.51675e-09
1.98906e-05,1.14260e-05,5.70657e-06,2.37864e-06,8.65279e-07,1.49870e-07,-2.43757e-07,-3.05044e-07,-2.16081e-07,-1.35771e-07,-6.54104e-08,-2.49119e-08,-8.58899e-09,1.47119e-09
1.95841e-05,1.10508e-05,5.28128e-06,1.98277e-06,5.52965e-07,-8.47239e-08,-4.00323e-07,-4.08569e-07,-2.95799e-07,-1.96799e-07,-1.01657e-07,-4.03407e-08,-1.37078e-08,1.35088e-10
1.93039e-05,1.09064e-05,5.31907e-06,2.09468e-06,6.08960e-07,-9.06754e-08,-4.51135e-07,-4.49114e-07,-3.02387e-07,-1.87666e-07,-9.42383e-08,-4.31232e-08,-2.21481e-08,-7.98545e-09
1.94904e-05,1.06514e-05,4.74951e-06,1.45780e-06,8.44671e-08,-4.87317e-07,-7.13223e-07,-6.22253e-07,-4.38730e-07,-2.93002e-07,-1.55237e-07,-6.60945e-08,-2.67129e-08,-6.58756e-09
3.75507e-05,2.32453e-05,1.30057e-05,6.60906e-06,3.54700e-06,1.96864e-06,8.90171e-07,3.59748e-07,2.12836e-07,1.63174e-07,1.25442e-07,9.46245e-08,7.29873e-08,6.03371e-08
1.95292e-05,1.10561e-05,5.35214e-06,2.07067e-06,6.10218e-07,-5.82355e-08,-3.98405e-07,-4.09328e-07,-2.87697e-07,-1.85392e-07,-9.35523e-08,-3.81401e-08,-1.48100e-08,-1.53100e-09
1.94364e-05,1.10101e-05,5.36646e-06,2.10987e-06,6.32128e-07,-5.59393e-08,-4.10543e-07,-4.18529e-07,-2.86472e-07,-1.79610e-07,-8.90000e-08,-3.75404e-08,-1.64919e-08,-3.42028e-09
1.93176e-05,1.26017e-05,8.13795e-06,5.06464e-06,3.07417e-06,1.82351e-06,8.69455e-07,4.39051e-07,3.74979e-07,3.24709e-07,2.06571e-07,8.34093e-08,1.87886e-08,1.02178e-09
1.92128e-05,1.08785e-05,5.28251e-06,2.06246e-06,6.19427e-07,-4.56444e-08,-3.86754e-07,-3.99002e-07,-2.77890e-07,-1.76890e-07,-8.77626e-08,-3.51079e-08,-1.33287e-08,-7.15497e-10
1.78066e-05,9.63481e-06,4.29652e-06,1.39295e-06,1.91335e-07,-3.01153e-07,-4.81471e-07,-3.81400e-07,-2.17426e-07,-1.07064e-07,-2.82149e-08,3.54307e-09,9.03996e-09,1.15802e-08
1.94650e-05,1.10285e-05,5.35462e-06,2.08633e-06,6.23663e-07,-4.95430e-08,-3.94484e-07,-4.06957e-07,-2.84662e-07,-1.82412e-07,-9.17655e-08,-3.77886e-08,-1.51965e-08,-2.06485e-09
1.90631e-05,1.07372e-05,5.16848e-06,1.98842e-06,5.77100e-07,-6.54914e-08,-3.86281e-07,-3.85116e-07,-2.59572e-07,-1.58271e-07,-7.17143e-08,-2.35209e-08,-5.58537e-09,4.20831e-09
1.91105e-05,1.21693e-05,7.32166e-06,4.20528e-06,2.53487e-06,1.57951e-06,8.55286e-07,4.50262e-07,3.05245e-07,2.24162e-07,1.34920e-07,6.45375e-08,2.95572e-08,1.67820e-08
1.94309e-05,1.09858e-05,5.31179e-06,2.05018e-06,5.94835e-07,-7.22158e-08,-4.10494e-07,-4.17030e-07,-2.91154e-07,-1.86700e-07,-9.41012e-08,-3.88589e-08,-1.56819e-08,-2.26883e-09
1.92699e-05,1.07060e-05,4.98642e-06,1.75169e-06,3.48844e-07,-2.68746e-07,-5.51603e-07,-5.09180e-07,-3.53983e-07,-2.30385e-07,-1.19149e-07,-5.07625e-08,-2.12174e-08,-4.81471e-09
1.96909e-05,1.12184e-05,5.51117e-06,2.21234e-06,7.27643e-07,3.71859e-08,-3.27413e-07,-3.60279e-07,-2.52902e-07,-1.61340e-07,-8.16284e-08,-3.57546e-08,-1.72038e-08,-5.88718e-09
1.95590e-05,1.10602e-05,5.34660e-06,2.06221e-06,5.98727e-07,-7.13838e-08,-4.11320e-07,-4.18978e-07,-2.93752e-07,-1.89348e-07,-9.62648e-08,-4.03325e-08,-1.66892e-08,-3.02548e-09
1.67535e-05,8.61205e-06,3.52431e-06,7.70845e-07,-4.86184e-07,-1.02912e-06,-1.18885e-06,-9.29536e-07,-5.82053e-07,-3.49177e-07,-1.73019e-07,-8.29832e-08,-4.74616e-08,-2.33763e-08
1.94600e-05,1.10042e-05,5.31675e-06,2.04826e-06,5.94606e-07,-6.98137e-08,-4.06325e-07,-4.14078e-07,-2.90491e-07,-1.87110e-07,-9.45114e-08,-3.87107e-08,-1.52060e-08,-1.80678e-09
1.94944e-05,1.10152e-05,5.28819e-06,2.00552e-06,5.69603e-07,-7.65278e-08,-3.99311e-07,-4.08103e-07,-2.92369e-07,-1.92343e-07,-9.84341e-08,-3.92228e-08,-1.37850e-08,-1.97773e-10
1.28908e-04,8.43096e-05,5.11786e-05,2.95346e-05,1.87390e-05,1.27525e-05,8.01327e-06,4.74869e-06,3.07844e-06,2.13742e-06,1.33556e-06,8.01423e-07,5.23013e-07,3.63758e-07
1.20828e-04,7.92919e-05,4.82985e-05,2.79576e-05,1.77892e-05,1.21384e-05,7.65095e-06,4.54524e-06,2.94906e-06,2.04847e-06,1.28155e-06,7.70906e-07,5.04430e-07,3.51371e-07
1.20628e-04,7.91677e-05,4.82334e-05,2.79270e-05,1.77698e-05,1.21231e-05,7.63892e-06,4.53777e-06,2.94556e-06,2.04695e-06,1.28076e-06,7.70018e-07,5.03461e-07,3.50557e-07
1.20857e-04,7.92245e-05,4.82073e-05,2.78803e-05,1.77238e-05,1.20826e-05,7.60722e-06,4.51543e-06,2.92932e-06,2.03473e-06,1.27242e-06,7.64572e-07,4.99661e-07,3.47785e-07
1.45530e-04,9.62928e-05,5.91653e-05,3.45110e-05,2.20964e-05,1.51546e-05,9.60406e-06,5.73573e-06,3.73694e-06,2.60422e-06,1.63554e-06,9.87764e-07,6.48498e-07,4.52908e-07
1.25493e-04,8.25678e-05,5.04566e-05,2.92960e-05,1.86717e-05,1.27490e-05,8.03736e-06,4.78108e-06,3.11256e-06,2.16878e-06,1.35963e-06,8.17339e-07,5.33771e-07,3.71662e-07
1.20625e-04,7.91721e-05,4.82405e-05,2.79336e-05,1.77756e-05,1.21282e-05,7.64292e-06,4.54065e-06,2.94767e-06,2.04855e-06,1.28190e-06,7.70821e-07,5.04063e-07,3.51020e-07
1.22296e-04,8.03550e-05,4.90027e-05,2.83924e-05,1.80850e-05,1.23537e-05,7.79721e-06,4.63738e-06,3.00996e-06,2.09130e-06,1.30943e-06,7.89002e-07,5.17221e-07,3.60742e-07
1.20760e-04,7.92760e-05,4.83133e-05,2.79803e-05,1.78075e-05,1.21510e-05,7.65786e-06,4.54966e-06,2.95345e-06,2.05248e-06,1.28426e-06,7.72172e-07,5.04900e-07,3.51565e-07
1.20664e-04,7.91957e-05,4.82528e-05,2.79393e-05,1.77785e-05,1.21297e-05,7.64355e-06,4.54075e-06,2.94752e-06,2.04832e-06,1.28165e-06,7.70618e-07,5.03899e-07,3.50883e-07
1.20770e-04,7.91996e-05,4.81999e-05,2.78696e-05,1.77122e-05,1.20715e-05,7.59755e-06,4.50797e-06,2.92391e-06,2.03091e-06,1.27030e-06,7.63771e-07,4.99542e-07,3.47998e-07
7.75205e-05,5.98448e-05,3.97027e-05,2.32602e-05,1.54420e-05,1.10085e-05,7.08931e-06,4.24937e-06,2.82729e-06,2.00785e-06,1.27278e-06,7.69777e-07,5.08195e-07,3.57327e-07
1.20653e-04,7.91867e-05,4.82459e-05,2.79345e-05,1.77751e-05,1.21271e-05,7.64179e-06,4.53959e-06,2.94669e-06,2.04770e-06,1.28124e-06,7.70357e-07,5.03726e-07,3.50761e-07
1.22019e-04,8.01267e-05,4.88346e-05,2.82697e-05,1.79786e-05,1.22564e-05,7.71212e-06,4.57083e-06,2.95980e-06,2.05191e-06,1.27945e-06,7.66089e-07,4.99075e-07,3.46385e-07
1.20675e-04,7.92014e-05,4.82553e-05,2.79401e-05,1.77786e-05,1.21295e-05,7.64324e-06,4.54044e-06,2.94725e-06,2.04809e-06,1.28148e-06,7.70493e-07,5.03807e-07,3.50813e-07
9.74511e-05,6.41010e-05,3.93590e-05,2.31023e-05,1.48680e-05,1.02403e-05,6.53047e-06,3.93259e-06,2.58061e-06,1.80876e-06,1.14308e-06,6.93579e-07,4.56454e-07,3.19455e-07
