tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23
6.32457e-04,3.36067e-04,2.05849e-04,1.36573e-04,8.42877e-05,4.89595e-05,3.13166e-05,2.14661e-05,1.35439e-05,7.94440e-06,5.07914e-06,3.46077e-06,2.15108e-06,1.23627e-06,7.71234e-07,5.15419e-07,3.05775e-07,1.74535e-07,1.10673e-07,7.60391e-08,4.83949e-08,3.05724e-08,2.14732e-08,1.61517e-08
6.44404e-04,3.32873e-04,1.98487e-04,1.28610e-04,7.73066e-05,4.38630e-05,2.77335e-05,1.89435e-05,1.19862e-05,7.10728e-06,4.60464e-06,3.17952e-06,2.01196e-06,1.18139e-06,7.49893e-07,5.07624e-07,3.04726e-07,1.74560e-07,1.09963e-07,7.45506e-08,4.62287e-08,2.81819e-08,1.92112e-08,1.41304e-08
6.46532e-04,3.39103e-04,2.05255e-04,1.34808e-04,8.23173e-05,4.74256e-05,3.02592e-05,2.07622e-05,1.31583e-05,7.78204e-06,5.01724e-06,3.44533e-06,2.16302e-06,1.25760e-06,7.91627e-07,5.32355e-07,3.17323e-07,1.80922e-07,1.13885e-07,7.73694e-08,4.82699e-08,2.97197e-08,2.04448e-08,1.51456e-08
6.46426e-04,3.38886e-04,2.04911e-04,1.34359e-04,8.17942e-05,4.69368e-05,2.98855e-05,2.05153e-05,1.30608e-05,7.81003e-06,5.10303e-06,3.55270e-06,2.27317e-06,1.35332e-06,8.69348e-07,5.94182e-07,3.60357e-07,2.07554e-07,1.30397e-07,8.75841e-08,5.31070e-08,3.11940e-08,2.04869e-08,1.45854e-08
6.46494e-04,3.39098e-04,2.05290e-04,1.34872e-04,8.23912e-05,4.74798e-05,3.02858e-05,2.07672e-05,1.31455e-05,7.76044e-06,4.99455e-06,3.42384e-06,2.14413e-06,1.24242e-06,7.79898e-07,5.23563e-07,3.12003e-07,1.78576e-07,1.13266e-07,7.77197e-08,4.92964e-08,3.09824e-08,2.16637e-08,1.62383e-08
6.46493e-04,3.39097e-04,2.05291e-04,1.34874e-04,8.23975e-05,4.74883e-05,3.02879e-05,2.07541e-05,1.31025e-05,7.67744e-06,4.88653e-06,3.30690e-06,2.03322e-06,1.15578e-06,7.19639e-07,4.84913e-07,2.96276e-07,1.79394e-07,1.21778e-07,8.94256e-08,6.19711e-08,4.24515e-08,3.13627e-08,2.43018e-08
7.64617e-04,3.93898e-04,2.35222e-04,1.52775e-04,9.21359e-05,5.23974e-05,3.31057e-05,2.25445e-05,1.41684e-05,8.30723e-06,5.32137e-06,3.63599e-06,2.27011e-06,1.31241e-06,8.22655e-07,5.51478e-07,3.27570e-07,1.86197e-07,1.16985e-07,7.93867e-08,4.94880e-08,3.04599e-08,2.09531e-08,1.55219e-08
1.00045e-03,5.35901e-04,3.25532e-04,2.13001e-04,1.28470e-04,7.24417e-05,4.52421e-05,3.04512e-05,1.88549e-05,1.08697e-05,6.87099e-06,4.64594e-06,2.86703e-06,1.63812e-06,1.01787e-06,6.77641e-07,3.98857e-07,2.24105e-07,1.39087e-07,9.31761e-08,5.69534e-08,3.42099e-08,2.30573e-08,1.68103e-08
6.59371e-04,3.49679e-04,2.13274e-04,1.40838e-04,8.64157e-05,4.99489e-05,3.19002e-05,2.18825e-05,1.38499e-05,8.17050e-06,5.25413e-06,3.59940e-06,2.25293e-06,1.30536e-06,8.19419e-07,5.49851e-07,3.26942e-07,1.86001e-07,1.16924e-07,7.93709e-08,4.94904e-08,3.04646e-08,2.09564e-08,1.55239e-08
6.22124e-04,3.35175e-04,2.11156e-04,1.45200e-04,9.47465e-05,5.93796e-05,4.06591e-05,2.95343e-05,1.99400e-05,1.25541e-05,8.45101e-06,5.98314e-06,3.87251e-06,2.31361e-06,1.48186e-06,1.00726e-06,6.04953e-07,3.44008e-07,2.13526e-07,1.41787e-07,8.45784e-08,4.86626e-08,3.13509e-08,2.19362e-08
6.46397e-04,3.38965e-04,2.05155e-04,1.34757e-04,8.23185e-05,4.74594e-05,3.02989e-05,2.07976e-05,1.31841e-05,7.79696e-06,5.02543e-06,3.44956e-06,2.16421e-06,1.25707e-06,7.90609e-07,5.31328e-07,3.16558e-07,1.80531e-07,1.13760e-07,7.74107e-08,4.84379e-08,2.99397e-08,2.06630e-08,1.53445e-08
6.46267e-04,3.38373e-04,2.03952e-04,1.32983e-04,8.00200e-05,4.49942e-05,2.80616e-05,1.89346e-05,1.18757e-05,7.10738e-06,4.75497e-06,3.44639e-06,2.37745e-06,1.58889e-06,1.14243e-06,8.63146e-07,5.95232e-07,3.90527e-07,2.70162e-07,1.94606e-07,1.26296e-07,7.73873e-08,5.11575e-08,3.58766e-08
6.46494e-04,3.39098e-04,2.05290e-04,1.34869e-04,8.23790e-05,4.74419e-05,3.02147e-05,2.06659e-05,1.30153e-05,7.62066e-06,4.86911e-06,3.32291e-06,2.08072e-06,1.22000e-06,7.82929e-07,5.40133e-07,3.36344e-07,2.02804e-07,1.33959e-07,9.45584e-08,6.14051e-08,3.89070e-08,2.70498e-08,2.00472e-08
6.46495e-04,3.39099e-04,2.05292e-04,1.34876e-04,8.23999e-05,4.74947e-05,3.03044e-05,2.07866e-05,1.31634e-05,7.77550e-06,5.00899e-06,3.43969e-06,2.16350e-06,1.26598e-06,8.05230e-07,5.48579e-07,3.34315e-07,1.96068e-07,1.26253e-07,8.70415e-08,5.46457e-08,3.31113e-08,2.20113e-08,1.56091e-08
1.00633e-03,5.23402e-04,3.16076e-04,2.08451e-04,1.29084e-04,7.65054e-05,5.03741e-05,3.56172e-05,2.34359e-05,1.44362e-05,9.59229e-06,6.74221e-06,4.35264e-06,2.62601e-06,1.72140e-06,1.20935e-06,7.73216e-07,4.81795e-07,3.27240e-07,2.35757e-07,1.55444e-07,9.80153e-08,6.64425e-08,4.74125e-08
1.12356e-03,5.96065e-04,3.59400e-04,2.33993e-04,1.40887e-04,8.00542e-05,5.08569e-05,3.50262e-05,2.25187e-05,1.36836e-05,9.06998e-06,6.38835e-06,4.14337e-06,2.51101e-06,1.64802e-06,1.15644e-06,7.36474e-07,4.56351e-07,3.08684e-07,2.21864e-07,1.46142e-07,9.22824e-08,6.27292e-08,4.49032e-08
1.05012e-03,5.74717e-04,3.62241e-04,2.47225e-04,1.58394e-04,9.63001e-05,6.39792e-05,4.52116e-05,2.94949e-05,1.78663e-05,1.16785e-05,8.09493e-06,5.14547e-06,3.05969e-06,1.98738e-06,1.38812e-06,8.82423e-07,5.46888e-07,3.69690e-07,2.65118e-07,1.73636e-07,1.08590e-07,7.30824e-08,5.18283e-08
1.02351e-03,5.32284e-04,3.20555e-04,2.10668e-04,1.29807e-04,7.64846e-05,5.01317e-05,3.53205e-05,2.31496e-05,1.42026e-05,9.40994e-06,6.60078e-06,4.25388e-06,2.56424e-06,1.68144e-06,1.18242e-06,7.57472e-07,4.73193e-07,3.22081e-07,2.32420e-07,1.53507e-07,9.69327e-08,6.57669e-08,4.69578e-08
1.02347e-03,5.32170e-04,3.20335e-04,2.10337e-04,1.29337e-04,7.58773e-05,4.94592e-05,3.46489e-05,2.25561e-05,1.37803e-05,9.15541e-06,6.47883e-06,4.25985e-06,2.65802e-06,1.80512e-06,1.30879e-06,8.68939e-07,5.58934e-07,3.86252e-07,2.80514e-07,1.85437e-07,1.16419e-07,7.83377e-08,5.54570e-08
1.02347e-03,5.32175e-04,3.20360e-04,2.10409e-04,1.29517e-04,7.62399e-05,4.99696e-05,3.52363e-05,2.31459e-05,1.42543e-05,9.47754e-06,6.66614e-06,4.30551e-06,2.59612e-06,1.69934e-06,1.19191e-06,7.60673e-07,4.73817e-07,3.22391e-07,2.32995e-07,1.54527e-07,9.82213e-08,6.70602e-08,4.81419e-08
1.02347e-03,5.32176e-04,3.20360e-04,2.10409e-04,1.29517e-04,7.62400e-05,4.99696e-05,3.52363e-05,2.31460e-05,1.42549e-05,9.47902e-06,6.66892e-06,4.31021e-06,2.60259e-06,1.70617e-06,1.19810e-06,7.65064e-07,4.75860e-07,3.22779e-07,2.32396e-07,1.53271e-07,9.68386e-08,6.58397e-08,4.71381e-08
8.66228e-04,4.57354e-04,2.79159e-04,1.85712e-04,1.16112e-04,6.95148e-05,4.61244e-05,3.28088e-05,2.17344e-05,1.34830e-05,9.00687e-06,6.35724e-06,4.12346e-06,2.49994e-06,1.64488e-06,1.15895e-06,7.43543e-07,4.64882e-07,3.16578e-07,2.28552e-07,1.51068e-07,9.54967e-08,6.48615e-08,4.63563e-08
7.92364e-04,4.11957e-04,2.50720e-04,1.67082e-04,1.05131e-04,6.35745e-05,4.25457e-05,3.04633e-05,2.03149e-05,1.26764e-05,8.50002e-06,6.01591e-06,3.91440e-06,2.38219e-06,1.57290e-06,1.11179e-06,7.16361e-07,4.49943e-07,3.07480e-07,2.22573e-07,1.47538e-07,9.35042e-08,6.36188e-08,4.55255e-08
9.74828e-04,4.96916e-04,2.95269e-04,1.92282e-04,1.17629e-04,6.90917e-05,4.53314e-05,3.20299e-05,2.10992e-05,1.30344e-05,8.68752e-06,6.12404e-06,3.96895e-06,2.40656e-06,1.58507e-06,1.11850e-06,7.19468e-07,4.51308e-07,3.08181e-07,2.22977e-07,1.47743e-07,9.36027e-08,6.36726e-08,4.55575e-08
