tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.78173e-02,1.16172e-02,5.57185e-03,3.13253e-03,1.76600e-03,1.03953e-03,7.16966e-04,5.38152e-04,3.86087e-04,2.63623e-04,1.90476e-04,1.42485e-04,9.77270e-05,6.16566e-05,4.10733e-05,2.88434e-05,1.80332e-05,1.06170e-05,6.81393e-06,4.65647e-06,2.83254e-06,1.66077e-06,1.07811e-06,7.38870e-07,4.70925e-07,2.80873e-07,1.82544e-07,1.26815e-07,8.21563e-08,4.90253e-08,3.19270e-08,2.23361e-08
1.78173e-02,1.16172e-02,5.57186e-03,3.13253e-03,1.76600e-03,1.03951e-03,7.16884e-04,5.37967e-04,3.85700e-04,2.62981e-04,1.89715e-04,1.41730e-04,9.70830e-05,6.12181e-05,4.08259e-05,2.87447e-05,1.80772e-05,1.07387e-05,6.95539e-06,4.79435e-06,2.95026e-06,1.74720e-06,1.13993e-06,7.83768e-07,5.00122e-07,2.97359e-07,1.92505e-07,1.33220e-07,8.58755e-08,5.09193e-08,3.29946e-08,2.30016e-08
1.80597e-02,1.10026e-02,5.22513e-03,2.95817e-03,1.68951e-03,1.00731e-03,6.99956e-04,5.27687e-04,3.79724e-04,2.59541e-04,1.87401e-04,1.40076e-04,9.60004e-05,6.05575e-05,4.03881e-05,2.84311e-05,1.78709e-05,1.06107e-05,6.87165e-06,4.73817e-06,2.91958e-06,1.73460e-06,1.13626e-06,7.84491e-07,5.03291e-07,3.01132e-07,1.95983e-07,1.36160e-07,8.80680e-08,5.23994e-08,3.40254e-08,2.37416e-08
1.70218e-02,1.21158e-02,6.27700e-03,3.57891e-03,1.98866e-03,1.13983e-03,7.70630e-04,5.70885e-04,4.04865e-04,2.73965e-04,1.97056e-04,1.46958e-04,1.00496e-04,6.32763e-05,4.21407e-05,2.96327e-05,1.86019e-05,1.10252e-05,7.12762e-06,4.90653e-06,3.01608e-06,1.78730e-06,1.16845e-06,8.05192e-07,5.15410e-07,3.07663e-07,1.99850e-07,1.38652e-07,8.95677e-08,5.32121e-08,3.45092e-08,2.40557e-08
1.70802e-02,1.07297e-02,5.70847e-03,3.63713e-03,2.24679e-03,1.37286e-03,9.44322e-04,7.00116e-04,4.93063e-04,3.31429e-04,2.37737e-04,1.77200e-04,1.21384e-04,7.67437e-05,5.12511e-05,3.60729e-05,2.26265e-05,1.33767e-05,8.61477e-06,5.90180e-06,3.59715e-06,2.10607e-06,1.36131e-06,9.28346e-07,5.87408e-07,3.46824e-07,2.23125e-07,1.53547e-07,9.83399e-08,5.78538e-08,3.72657e-08,2.58732e-08
1.76968e-02,1.14719e-02,5.41966e-03,3.00844e-03,1.68948e-03,1.00490e-03,7.04088e-04,5.37033e-04,3.94530e-04,2.78679e-04,2.07766e-04,1.59646e-04,1.13053e-04,7.38902e-05,5.06498e-05,3.63319e-05,2.32510e-05,1.40211e-05,9.13566e-06,6.29757e-06,3.86469e-06,2.27139e-06,1.46787e-06,1.00006e-06,6.31352e-07,3.71237e-07,2.37891e-07,1.63172e-07,1.04138e-07,6.09933e-08,3.91415e-08,2.70990e-08
1.78173e-02,1.16173e-02,5.57244e-03,3.13398e-03,1.76921e-03,1.04510e-03,7.23678e-04,5.44768e-04,3.91085e-04,2.65629e-04,1.90338e-04,1.41275e-04,9.59819e-05,5.99430e-05,3.96484e-05,2.77392e-05,1.73219e-05,1.02180e-05,6.59300e-06,4.53821e-06,2.79204e-06,1.65869e-06,1.08792e-06,7.52171e-07,4.83482e-07,2.89984e-07,1.89154e-07,1.31669e-07,8.53457e-08,5.09108e-08,3.31245e-08,2.31451e-08
1.78173e-02,1.16172e-02,5.57183e-03,3.13244e-03,1.76573e-03,1.03882e-03,7.15746e-04,5.36545e-04,3.84235e-04,2.61832e-04,1.88946e-04,1.41276e-04,9.69524e-05,6.13231e-05,4.10094e-05,2.89387e-05,1.82501e-05,1.08781e-05,7.06592e-06,4.88298e-06,3.01687e-06,1.79568e-06,1.17686e-06,8.12717e-07,5.21370e-07,3.11736e-07,2.02699e-07,1.40682e-07,9.08578e-08,5.39555e-08,3.49830e-08,2.43833e-08
1.78173e-02,1.16172e-02,5.57186e-03,3.13253e-03,1.76600e-03,1.03952e-03,7.16940e-04,5.38120e-04,3.86077e-04,2.63692e-04,1.90662e-04,1.42798e-04,9.81836e-05,6.21895e-05,4.15756e-05,2.92739e-05,1.83409e-05,1.07863e-05,6.88155e-06,4.65802e-06,2.78257e-06,1.58660e-06,1.00112e-06,6.67201e-07,4.11187e-07,2.37046e-07,1.49933e-07,1.02253e-07,6.54140e-08,3.86352e-08,2.50555e-08,1.75441e-08
1.78173e-02,1.16172e-02,5.57186e-03,3.13253e-03,1.76600e-03,1.03951e-03,7.16884e-04,5.37967e-04,3.85700e-04,2.62981e-04,1.89714e-04,1.41727e-04,9.70746e-05,6.12009e-05,4.07997e-05,2.87122e-05,1.80416e-05,1.07072e-05,6.93092e-06,4.77696e-06,2.94170e-06,1.74669e-06,1.14369e-06,7.89284e-07,5.06098e-07,3.02634e-07,1.96869e-07,1.36732e-07,8.84159e-08,5.25898e-08,3.41387e-08,2.38145e-08
1.78173e-02,1.16172e-02,5.57186e-03,3.13253e-03,1.76600e-03,1.03951e-03,7.16884e-04,5.37967e-04,3.85700e-04,2.62981e-04,1.89714e-04,1.41727e-04,9.70746e-05,6.12009e-05,4.07997e-05,2.87122e-05,1.80416e-05,1.07072e-05,6.93092e-06,4.77696e-06,2.94170e-06,1.74669e-06,1.14369e-06,7.89284e-07,5.06098e-07,3.02634e-07,1.96869e-07,1.36732e-07,8.84159e-08,5.25898e-08,3.41387e-08,2.38145e-08
1.54486e-02,1.45303e-02,1.02174e-02,6.43603e-03,3.44788e-03,1.69750e-03,9.60413e-04,6.01788e-04,3.45836e-04,1.84924e-04,1.12516e-04,7.38624e-05,4.47086e-05,2.60177e-05,1.66510e-05,1.16373e-05,7.51136e-06,4.64844e-06,3.12561e-06,2.22570e-06,1.42748e-06,8.74966e-07,5.80765e-07,4.04037e-07,2.59477e-07,1.53448e-07,9.84894e-08,6.74975e-08,4.28789e-08,2.48937e-08,1.58197e-08,1.08497e-08
1.56620e-02,1.46962e-02,1.00074e-02,6.14744e-03,3.24187e-03,1.58865e-03,9.00808e-04,5.65746e-04,3.26178e-04,1.75252e-04,1.07119e-04,7.06244e-05,4.29776e-05,2.51492e-05,1.61790e-05,1.13562e-05,7.36415e-06,4.57583e-06,3.08230e-06,2.19616e-06,1.40978e-06,8.65187e-07,5.74879e-07,4.00233e-07,2.57134e-07,1.52039e-07,9.75937e-08,6.69128e-08,4.25471e-08,2.47253e-08,1.57171e-08,1.07769e-08
1.51698e-02,1.42327e-02,1.01471e-02,6.52621e-03,3.59733e-03,1.82400e-03,1.05000e-03,6.62926e-04,3.81711e-04,2.04164e-04,1.24212e-04,8.15986e-05,4.95315e-05,2.89773e-05,1.86173e-05,1.30302e-05,8.40006e-06,5.17710e-06,3.46058e-06,2.44834e-06,1.55632e-06,9.45291e-07,6.23175e-07,4.30831e-07,2.74670e-07,1.61219e-07,1.02842e-07,7.01657e-08,4.44060e-08,2.56659e-08,1.62490e-08,1.11128e-08
1.52951e-02,1.43904e-02,1.01222e-02,6.42327e-03,3.50264e-03,1.75773e-03,1.00258e-03,6.27393e-04,3.57732e-04,1.90533e-04,1.16596e-04,7.72834e-05,4.75725e-05,2.83342e-05,1.84814e-05,1.30674e-05,8.49156e-06,5.25951e-06,3.51499e-06,2.48012e-06,1.57085e-06,9.51306e-07,6.25982e-07,4.31882e-07,2.74488e-07,1.60471e-07,1.02078e-07,6.95581e-08,4.40306e-08,2.54523e-08,1.60995e-08,1.09947e-08
1.54454e-02,1.45235e-02,1.02071e-02,6.42307e-03,3.43489e-03,1.68936e-03,9.57617e-04,6.02809e-04,3.49353e-04,1.88697e-04,1.15548e-04,7.61648e-05,4.61914e-05,2.67986e-05,1.70790e-05,1.18895e-05,7.63757e-06,4.70690e-06,3.15977e-06,2.24960e-06,1.44285e-06,8.84692e-07,5.87530e-07,4.08962e-07,2.62821e-07,1.55541e-07,9.98803e-08,6.84616e-08,4.34835e-08,2.52368e-08,1.60342e-08,1.09952e-08
1.54485e-02,1.45300e-02,1.02166e-02,6.43442e-03,3.44476e-03,1.69272e-03,9.55139e-04,5.96861e-04,3.42143e-04,1.83176e-04,1.12166e-04,7.42854e-05,4.56266e-05,2.70744e-05,1.76078e-05,1.24310e-05,8.07902e-06,5.01826e-06,3.37085e-06,2.39207e-06,1.52602e-06,9.29579e-07,6.13787e-07,4.24941e-07,2.71358e-07,1.59534e-07,1.01894e-07,6.95746e-08,4.40545e-08,2.54790e-08,1.61421e-08,1.10469e-08
