,thk_00,thk_01,rho0_00,rho0_01,rho0_02,max_pha_00,max_pha_01,max_pha_02,tau_phi_00,tau_phi_01,tau_phi_02,c_00,c_01,c_02
dB/dt tg11,-1.0512775226484691e-08,-8.123521805904881e-08,-4.03352274494267e-09,-8.1310301985102e-10,-2.062589944673636e-08,7.975449763162665e-07,4.870297239537358e-06,3.6395832601457097e-06,4.5898831151447434e-07,0.0007642920828490589,1.8132432765295725e-06,-1.4568607743931407e-09,3.500233015240216e-06,-7.51029608862215e-10
dB/dt tg12,3.0601206466595355e-09,-5.517855404105797e-08,-2.509289439313212e-09,-4.580825140900893e-10,-1.4658219430746107e-08,4.837370203779717e-07,1.2005275845757015e-06,2.5833333758951033e-06,2.8632940526394924e-07,0.0007479631620979819,1.2902120581223917e-06,-1.038470472113712e-09,3.047518401415284e-06,-5.941564912676429e-10
dB/dt tg13,1.1953485439721915e-08,-3.580819538008905e-08,-1.4114242407261818e-09,-2.035929492879647e-10,-9.647167754577684e-09,2.612459446631777e-07,-1.3044959489577894e-06,1.6974016471020541e-06,1.6086692025258529e-07,0.0007102948492202406,8.494037416279786e-07,-6.909977527592543e-10,2.538249595223106e-06,-4.3972441926462785e-10
dB/dt tg14,1.61627423279187e-08,-2.3570726062644934e-08,-7.540596878600471e-10,-5.4464621344689273e-11,-5.9889250132872445e-09,1.3191039145953187e-07,-2.582426982036985e-06,1.0516264045903846e-06,8.512832653674932e-08,0.0006503039179047513,5.270837416236754e-07,-4.390916534721045e-10,2.015220681270911e-06,-3.063964206885499e-10
dB/dt tg15,1.7369530819618946e-08,-1.7366744822251646e-08,-4.401746622420275e-10,1.291281261017136e-11,-3.9913607110648915e-09,7.230332550939312e-08,-2.9934835913675434e-06,6.99527519930717e-07,4.916463779769588e-08,0.0005908262553467871,3.5167472270882407e-07,-3.006313916874101e-10,1.6254040671778756e-06,-2.242993798236726e-10
dB/dt tg16,1.7339382255249977e-08,-1.3928600566380525e-08,-2.801393515497018e-10,4.39330383665927e-11,-2.836022322166247e-09,4.320131237165295e-08,-3.0426034631476165e-06,4.961955855115928e-07,3.1008266526297424e-08,0.0005359353591524407,2.5048670035712466e-07,-2.1957524546056566e-10,1.328796578077808e-06,-1.7156598981400746e-10
dB/dt tg17,1.6405637272382537e-08,-1.0933460596723634e-08,-1.5870965380201254e-10,6.268080939502309e-11,-1.829182821718102e-09,2.228481460076767e-08,-2.8630316540174957e-06,3.19301225305399e-07,1.73512145823168e-08,0.00046104479480976794,1.6211053507209907e-07,-1.4758110251688322e-10,9.88900045321031e-07,-1.2072095777977117e-10
dB/dt tg18,1.4762535025004193e-08,-8.631612784923103e-09,-8.383738908258625e-11,6.849181178681557e-11,-1.1273341899243636e-09,1.0035438073897997e-08,-2.509939884446817e-06,1.9622026751207944e-07,8.938429965360158e-09,0.00037769062927903174,9.985083156827345e-08,-9.582216503449978e-11,6.74046877476672e-07,-8.185918533357915e-11
dB/dt tg19,1.3106171208786862e-08,-7.186592443057646e-09,-4.9717763851725974e-11,6.61432983304463e-11,-7.556161597027909e-10,4.882715642265994e-09,-2.147361494952789e-06,1.3118463969991945e-07,5.121480638124475e-09,0.0003088202115580696,6.656126790391014e-08,-6.728411259221362e-11,4.537348854804944e-07,-5.909866158398024e-11
dB/dt tg20,1.1601414394892367e-08,-6.147348823499193e-09,-3.208504546353607e-11,6.125770928752834e-11,-5.370012384553769e-10,2.4729724397453997e-09,-1.8193150818807487e-06,9.301734601196244e-08,3.184984313366137e-09,0.0002517421719057504,4.702028395727355e-08,-4.987375004306149e-11,2.9534213869633215e-07,-4.4599507337027754e-11
dB/dt tg21,9.682128290473627e-09,-4.977366668808935e-09,-1.7763904004557798e-11,5.3223676910651745e-11,-3.4374738378665266e-10,7.180096648084622e-10,-1.4091622456680392e-06,5.93440685787021e-08,1.6740458570130893e-09,0.0001835966966144475,3.0021607354395336e-08,-3.393934717580739e-11,1.337102054369991e-07,-3.095282792266901e-11
dB/dt tg22,7.64629237927007e-09,-3.857336780232928e-09,-9.131594537292324e-12,4.322900432569394e-11,-2.1055745959035827e-10,-1.1801970134007946e-10,-9.936667522561229e-07,3.620726433275636e-08,8.260631825465084e-10,0.00011739302354875833,1.854331431433162e-08,-2.234869123932963e-11,6.259745506457496e-09,-2.0670561968867558e-11
dB/dt tg23,6.07386758590862e-09,-3.0397224772827744e-09,-5.2202736837618004e-12,3.487426097880266e-11,-1.4004828458780208e-10,-3.6564334221974955e-10,-6.966175051042327e-07,2.3998849690149022e-08,4.6547834883044573e-10,7.165889873648361e-05,1.2483505806745382e-08,-1.583448864271498e-11,-6.086165851732583e-08,-1.4730162976914333e-11
dB/dt tg24,4.848878538131074e-09,-2.4169801193833457e-09,-3.1355856477620534e-12,2.81318368384712e-11,-9.786246408347589e-11,-4.4032547277919834e-10,-4.853707068432011e-07,1.67121157931785e-08,2.7227662058975993e-10,4.016029141629138e-05,8.78337264498195e-09,-1.174440662252111e-11,-9.296816109170561e-08,-1.0956857802707983e-11
